Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/68046435/salvage-2021-dodge-challenger-gt-al-birmingham,68046435,"22,787 USD",11/04/2025 12:00 pm CST,2021,DODG,CHALLENGER GT,3.6L  6,6,2C3CDZJG2MH******,CERT OF TITLE-SALVAGE TITLE,"59,351 A",ACTUAL,FRONT END,175 USD,0 USD,4005,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/67982245/salvage-2017-kia-optima-lx-al-birmingham,67982245,"5,368 USD",11/04/2025 12:00 pm CST,2017,KIA,OPTIMA LX,2.4L  4,4,KNAGT4L31H5******,CERT OF TITLE-FLOOD SALVAGE,"183,008 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,4506,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/67932185/salvage-2018-hyundai-elantra-se-al-birmingham,67932185,"7,408 USD",11/04/2025 12:00 pm CST,2018,HYUN,ELANTRA SE,2.0L  4,4,5NPD74LF9JH******,CERT OF TITLE-FLOOD SALVAGE,"99,312 A",ACTUAL,WATER/FLOOD,0 USD,0 USD,3289,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/67628645/salvage-2020-bmw-x3-sdrive30i-al-birmingham,67628645,"17,397 USD",11/04/2025 12:00 pm CST,2020,BMW,X3 SDRIVE30I,2.0L  4,4,5UXTY3C04L9******,CERT OF TITLE-SALVAGE TITLE,"120,876 A",ACTUAL,FRONT END,0 USD,0 USD,31,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/67613315/salvage-2024-ford-bronco-sport-big-bend-al-birmingham,67613315,"28,173 USD",11/04/2025 12:00 pm CST,2024,FORD,BRONCO SPORT BIG BEND,1.5L  3,3,3FMCR9B62RR******,CERT OF TITLE-SALVAGE TITLE,"8,119 A",ACTUAL,REAR END,0 USD,0 USD,99,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/67513185/clean-title-2019-hyundai-veloster-base-al-mobile-south,67513185,"12,250 USD",11/04/2025 12:00 pm CST,2019,HYUN,VELOSTER B,2.0L  4,4,KMHTG6AF9KU******,CERTIFICATE OF TITLE,"123,986 A",ACTUAL,SIDE,0 USD,0 USD,2543,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/67475635/salvage-2017-ford-edge-titanium-al-birmingham,67475635,"12,019 USD",11/04/2025 12:00 pm CST,2017,FORD,EDGE TITANIUM,3.5L  6,6,2FMPK4K83HB******,CERT OF TITLE-SALVAGE TITLE,"143,489 A",ACTUAL,FRONT END,0 USD,0 USD,3292,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/67090555/salvage-2015-hyundai-tucson-limited-al-birmingham,67090555,"8,693 USD",11/04/2025 12:00 pm CST,2015,HYUN,TUCSON LIM,2.4L  4,4,KM8JUCAG5FU******,CERT OF TITLE-SALVAGE TITLE,"120,618 A",ACTUAL,FRONT END,0 USD,0 USD,3280,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/66947405/salvage-2025-genesis-gv70-base-al-mobile-south,66947405,"57,551 USD",11/04/2025 12:00 pm CST,2025,GENS,GV70 BASE,3.5L  6,6,5NMMCDTC5SH******,CERT OF TITLE SLVG REBUILDABLE,"4,156 N",NOT ACTUAL,REAR END,"8,200 USD",0 USD,36,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/66916635/salvage-2023-ford-f150-supercrew-al-birmingham,66916635,"35,404 USD",11/04/2025 12:00 pm CST,2023,FORD,F150 SUPER,2.7L  6,6,1FTEW1CP5PK******,CERT OF TITLE-SALVAGE TITLE,"17,133 A",ACTUAL,FRONT END,0 USD,0 USD,111,AL - BIRMINGHAM,0,N/A,N/A
