class_name
front_left_dent
front_left_scratch
front_left_crack
front_left_broken_light
front_left_undamaged
front_right_dent
front_right_scratch
front_right_crack
front_right_broken_light
front_right_undamaged
front_center_dent
front_center_scratch
front_center_crack
front_center_broken_light
front_center_undamaged
rear_left_dent
rear_left_scratch
rear_left_crack
rear_left_broken_light
rear_left_undamaged
rear_right_dent
rear_right_scratch
rear_right_crack
rear_right_broken_light
rear_right_undamaged
rear_center_dent
rear_center_scratch
rear_center_crack
rear_center_broken_light
rear_center_undamaged
hood_dent
hood_scratch
hood_crack
hood_undamaged
trunk_dent
trunk_scratch
trunk_crack
trunk_undamaged
roof_dent
roof_scratch
roof_crack
roof_undamaged
left_door_front_dent
left_door_front_scratch
left_door_front_crack
left_door_front_undamaged
left_door_rear_dent
left_door_rear_scratch
left_door_rear_crack
left_door_rear_undamaged
right_door_front_dent
right_door_front_scratch
right_door_front_crack
right_door_front_undamaged
right_door_rear_dent
right_door_rear_scratch
right_door_rear_crack
right_door_rear_undamaged
left_fender_dent
left_fender_scratch
left_fender_crack
left_fender_undamaged
right_fender_dent
right_fender_scratch
right_fender_crack
right_fender_undamaged
left_quarter_panel_dent
left_quarter_panel_scratch
left_quarter_panel_crack
left_quarter_panel_undamaged
right_quarter_panel_dent
right_quarter_panel_scratch
right_quarter_panel_crack
right_quarter_panel_undamaged
front_bumper_dent
front_bumper_scratch
front_bumper_crack
front_bumper_undamaged
rear_bumper_dent
rear_bumper_scratch
rear_bumper_crack
rear_bumper_undamaged
undamaged_car
