Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/71693915/clean-title-2015-mercedes-benz-s-550-al-birmingham,71693915,$1 USD,11/06/2025 08:00 pm CST,2015,MERZ,S 550,4.7L  8,8,WDDXJ8FB3FA******,CERTIFICATE OF TITLE (P),"110,675 A",ACTUAL,MINOR DENT/SCRATCHES,"18,900 USD",0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/47238255/clean-title-2023-cadillac-ct4-v-blackwing-ga-atlanta-south,47238255,"58,492 USD",11/11/2025 09:00 am CST,2023,CADI,CT4-V BLAC,3.6L  6,6,1G6DL5RP4P0******,CLEAN TITLE WITH THEFT HISTORY,"9,447 A",ACTUAL,NORMAL WEAR,"16,800 USD",0 USD,36,GA - ATLANTA SOUTH,0,N/A,N/A
https://www.copart.com/lot/63236655/salvage-2018-chevrolet-traverse-premier-al-mobile,63236655,$1 USD,Future,2018,CHEV,TRAVERSE P,3.6L  6,6,1GNERKKW6JJ******,CERT OF TITLE-SALVAGE TITLE,"89,175 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/57634625/clean-title-2020-dodge-charger-scat-pack-ms-grenada,57634625,"44,558 USD",,2020,DODG,CHARGER SC,6.4L  8,8,2C3CDXGJXLH******,CERTIFICATE OF TITLE,"23,545 ",,NORMAL WEAR,0 USD,0 USD,0,MS - GRENADA,0,N/A,N/A
