Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/89857445/clean-title-2020-hyundai-santa-fe-limited-al-birmingham,89857445,$1 USD,11/11/2025 12:00 pm CST,2020,HYUN,SANTA FE L,2.4L  4,4,5NMS53AD7LH******,CERTIFICATE OF TITLE (P),"122,817 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,60,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/89821155/clean-title-2019-ford-f150-supercrew-al-birmingham,89821155,$1 USD,11/11/2025 12:00 pm CST,2019,FORD,F150 SUPER,5.0L  8,8,1FTEW1C54KK******,CERTIFICATE OF TITLE (P),"246,175 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,69,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/89817755/clean-title-2016-mercedes-benz-gle-400-4matic-al-birmingham,89817755,$1 USD,11/11/2025 12:00 pm CST,2016,MERZ,GLE 400 4M,3.0L  6,6,4JGDA5GB3GA******,CERTIFICATE OF TITLE (P),"82,292 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,50,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/87382285/clean-title-2017-audi-q7-premium-plus-al-birmingham,87382285,$1 USD,11/11/2025 12:00 pm CST,2017,AUDI,Q7 PREMIUM,3.0L  6,6,WA1LAAF75HD******,CERTIFICATE OF TITLE (P),"154,235 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,82,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/85114195/clean-title-2018-bmw-x5-sdrive35i-al-birmingham,85114195,$1 USD,11/11/2025 12:00 pm CST,2018,BMW,X5 SDRIVE3,3.0L  6,6,5UXKR2C5XJ0******,CERTIFICATE OF TITLE (P),"141,000 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,65,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/84213325/clean-title-2019-nissan-sentra-s-al-birmingham,84213325,$1 USD,11/11/2025 12:00 pm CST,2019,NISS,SENTRA S,1.8L  4,4,3N1AB7AP8KY******,CERTIFICATE OF TITLE (P),"248,304 A",ACTUAL,MINOR DENT/SCRATCHES,525 USD,0 USD,2350,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/80637565/clean-title-2016-chrysler-200-limited-al-birmingham,80637565,$1 USD,11/11/2025 12:00 pm CST,2016,CHRY,200 LIMITE,2.4L  4,4,1C3CCCAB6GN******,CERTIFICATE OF TITLE,"157,443 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,2290,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/78067093/clean-title-2019-acura-tlx-al-birmingham,78067093,"26,405 USD",Future,2019,ACUR,TLX,2.4L  4,4,19UUB1F31KA******,CERTIFICATE OF TITLE,"27,245 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/71693915/clean-title-2015-mercedes-benz-s-550-al-birmingham,71693915,$1 USD,11/11/2025 12:00 pm CST,2015,MERZ,S 550,4.7L  8,8,WDDXJ8FB3FA******,CERTIFICATE OF TITLE (P),"110,675 A",ACTUAL,MINOR DENT/SCRATCHES,"5,200 USD",0 USD,55,AL - BIRMINGHAM,0,N/A,N/A
