Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/91723055/clean-title-2016-nissan-maxima-3-5s-ga-atlanta-west,91723055,$1 USD,11/11/2025 09:00 am CST,2016,NISS,MAXIMA 3.5,3.5L  6,6,1N4AA6AP7GC******,CERTIFICATE OF TITLE (P),"301,450 A",ACTUAL,MINOR DENT/SCRATCHES,525 USD,0 USD,24,GA - ATLANTA WEST,0,N/A,N/A
https://www.copart.com/lot/90658715/clean-title-2017-dodge-charger-police-ga-atlanta-west,90658715,"8,900 USD",11/11/2025 09:00 am CST,2017,DODG,CHARGER PO,5.7L  8,8,2C3CDXKTXHH******,CERTIFICATE OF TITLE,"111,891 A",ACTUAL,MINOR DENT/SCRATCHES,425 USD,0 USD,109,GA - ATLANTA WEST,0,N/A,N/A
https://www.copart.com/lot/90967945/clean-title-2017-audi-q7-premium-plus-ga-atlanta-west,90967945,"14,300 USD",11/14/2025 09:00 am CST,2017,AUDI,Q7 PREMIUM,3.0L  6,6,WA1LAAF77HD******,CERTIFICATE OF TITLE,"129,030 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,GA - ATLANTA WEST,0,N/A,N/A
https://www.copart.com/lot/90446425/clean-title-2017-hyundai-tucson-limited-ga-atlanta-west,90446425,"8,800 USD",11/14/2025 09:00 am CST,2017,HYUN,TUCSON LIM,1.6L  4,4,KM8J33A21HU******,CERTIFICATE OF TITLE,"133,125 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,GA - ATLANTA WEST,0,N/A,N/A
https://www.copart.com/lot/84915295/clean-title-2017-bmw-330-xi-ga-atlanta-west,84915295,"16,225 USD",11/14/2025 09:00 am CST,2017,BMW,330 XI,2.0L  4,4,WBA8D9G3XHN******,CERTIFICATE OF TITLE,"55,951 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,GA - ATLANTA WEST,0,N/A,N/A
https://www.copart.com/lot/64283605/clean-title-2020-gmc-sierra-k2500-denali-ga-atlanta-west,64283605,"53,245 USD",,2020,GMC,SIERRA K25,6.6L  8,8,1GT49REY6LF******,CLEAN TITLE WITH THEFT HISTORY,"33,795 N",NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,GA - ATLANTA WEST,0,N/A,N/A
