Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/91939795/clean-title-2012-nissan-versa-s-tx-austin,91939795,$1 USD,11/13/2025 12:00 pm CST,2012,NISS,VERSA S,1.8L  4,4,3N1BC1CP4CK******,CERTIFICATE OF TITLE,"96,798 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,TX - AUSTIN,0,N/A,N/A
https://www.copart.com/lot/87020225/clean-title-2015-mercedes-benz-gl-450-4matic-tx-austin,87020225,"13,700 USD",11/13/2025 12:00 pm CST,2015,MERZ,GL 450 4MA,3.0L  6,6,4JGDF6EE8FA******,CERTIFICATE OF TITLE,"87,254 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,TX - AUSTIN,0,N/A,N/A
https://www.copart.com/lot/86144675/clean-title-2016-mercedes-benz-gle-350-tx-austin,86144675,$1 USD,11/13/2025 12:00 pm CST,2016,MERZ,GLE 350,3.5L  6,6,4JGDA5JB2GA******,CERTIFICATE OF TITLE (P),"87,599 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,TX - AUSTIN,0,N/A,N/A
https://www.copart.com/lot/85549235/clean-title-2016-mercedes-benz-glc-300-tx-austin,85549235,"11,375 USD",11/13/2025 12:00 pm CST,2016,MERZ,GLC 300,2.0L  4,4,WDC0G4JB3GF******,CERTIFICATE OF TITLE (P),"135,255 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,TX - AUSTIN,0,N/A,N/A
https://www.copart.com/lot/81392135/clean-title-2016-mercedes-benz-glc-300-tx-austin,81392135,"17,900 USD",11/13/2025 12:00 pm CST,2016,MERZ,GLC 300,2.0L  4,4,WDC0G4JB0GF******,CERTIFICATE OF TITLE,"102,061 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,TX - AUSTIN,0,N/A,N/A
https://www.copart.com/lot/81391715/clean-title-2015-audi-q3-premium-plus-tx-austin,81391715,"11,900 USD",11/13/2025 12:00 pm CST,2015,AUDI,Q3 PREMIUM,2.0L  4,4,WA1EFCFS0FR******,CERTIFICATE OF TITLE,"140,602 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,TX - AUSTIN,0,N/A,N/A
